function_rank,function_share,cumulative_bugfix_share
166,0.0037354575935552104,0.016066338429644986
167,0.0037579603501428924,0.01619590567504535
168,0.0037804631067305744,0.01632547292044571
169,0.0038029658633182565,0.01632547292044571
170,0.0038254686199059385,0.01632547292044571
171,0.0038479713764936205,0.01632547292044571
172,0.0038704741330813025,0.016584607411246437
173,0.0038929768896689846,0.01684374190204716
174,0.003915479646256667,0.016973309147447525
175,0.003937982402844349,0.016973309147447525
176,0.003960485159432031,0.016973309147447525
177,0.003982987916019713,0.016973309147447525
178,0.004005490672607395,0.016973309147447525
179,0.004027993429195077,0.016973309147447525
180,0.004050496185782759,0.016973309147447525
181,0.004072998942370441,0.0177507126198497
182,0.004095501698958122,0.01800984711065043
183,0.004118004455545804,0.01800984711065043
184,0.004140507212133486,0.01800984711065043
185,0.004163009968721168,0.01800984711065043
186,0.00418551272530885,0.018398548846851517
187,0.004208015481896532,0.01865768333765224
188,0.004230518238484214,0.01891681782845297
189,0.004253020995071896,0.019175952319253693
190,0.004275523751659578,0.019435086810054417
191,0.00429802650824726,0.019694221300855144
192,0.004320529264834942,0.019694221300855144
193,0.004343032021422624,0.019694221300855144
194,0.004365534778010306,0.019694221300855144
195,0.004388037534597988,0.019694221300855144
196,0.00441054029118567,0.019694221300855144
197,0.004433043047773352,0.019694221300855144
198,0.004455545804361034,0.019694221300855144
199,0.004478048560948716,0.020212490282456596
200,0.004500551317536398,0.020601192018657684
201,0.0045230540741240804,0.020730759264058048
202,0.0045455568307117625,0.020860326509458408
203,0.0045680595872994445,0.020860326509458408
204,0.0045905623438871265,0.020860326509458408
205,0.0046130651004748086,0.020860326509458408
206,0.004635567857062491,0.020860326509458408
207,0.004658070613650172,0.020860326509458408
208,0.004680573370237854,0.020860326509458408
209,0.004703076126825536,0.020860326509458408
210,0.004725578883413218,0.020989893754858772
211,0.0047480816400009,0.020989893754858772
212,0.004770584396588582,0.020989893754858772
213,0.004793087153176264,0.020989893754858772
214,0.004815589909763946,0.020989893754858772
215,0.004838092666351628,0.020989893754858772
216,0.00486059542293931,0.020989893754858772
217,0.004883098179526992,0.020989893754858772
218,0.004905600936114674,0.020989893754858772
219,0.004928103692702356,0.020989893754858772
220,0.004950606449290038,0.020989893754858772
221,0.00497310920587772,0.020989893754858772
222,0.004995611962465402,0.020989893754858772
223,0.005018114719053084,0.02189686447266131
224,0.005040617475640766,0.022155998963462036
225,0.005063120232228448,0.0222855662088624
226,0.00508562298881613,0.022415133454262763
227,0.005108125745403812,0.022415133454262763
228,0.005130628501991494,0.022415133454262763
229,0.005153131258579176,0.022415133454262763
230,0.005175634015166858,0.02280383519046385
231,0.0051981367717545395,0.023062969681264575
232,0.0052206395283422215,0.02319253692666494
233,0.005243142284929904,0.02319253692666494
234,0.005265645041517586,0.02319253692666494
235,0.005288147798105268,0.02319253692666494
236,0.00531065055469295,0.02371080590826639
237,0.005333153311280632,0.02409950764446748
238,0.005355656067868314,0.024358642135268203
239,0.005378158824455996,0.024488209380668566
240,0.005400661581043678,0.02461777662606893
241,0.00542316433763136,0.02461777662606893
242,0.005445667094219042,0.02461777662606893
243,0.005468169850806724,0.02461777662606893
244,0.005490672607394406,0.02461777662606893
245,0.005513175363982088,0.02461777662606893
246,0.00553567812056977,0.02461777662606893
247,0.005558180877157452,0.02604301632547292
248,0.005580683633745134,0.02643171806167401
249,0.005603186390332816,0.026820419797875097
250,0.005625689146920498,0.02707955428867582
251,0.00564819190350818,0.02733868877947655
252,0.005670694660095862,0.027597823270277273
253,0.005693197416683544,0.027856957761078
